date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:29	204/204	---M--	200	added ('OK%20')	text/plain	date:Sat,%2026%20Apr%202014%2009:44:39%20GMT	http://localhost:3003/robots.txt		(from )
12:09:29	11356/11356	---M--	200	added ('OK%20')	text/html	etag:%222d5a8dbf79afe8035682203050907e0f%22	http://localhost:3003/	/home/michael/websites/AUB/localhost_3003/index.html	(from )
12:09:29	513/513	---M--	200	added ('OK%20')	text/css	etag:%22bbd9c7c017997f8afa3bab6777227900%22	http://localhost:3003/assets/application.css?body=1	/home/michael/websites/AUB/localhost_3003/assets/application7e76.css	(from )
12:09:29	536/536	---M--	200	added ('OK%20')	text/css	etag:%223ff3a4b4a9d910af832cfd01b2f92be3%22	http://localhost:3003/assets/core/core.css?body=1	/home/michael/websites/AUB/localhost_3003/assets/core/core7e76.css	(from )
12:09:30	1577/1577	---M--	200	added ('OK%20')	text/css	etag:%22f971fa1fd2b3487ff96623b26b32f09e%22	http://localhost:3003/assets/footer/footer.css?body=1	/home/michael/websites/AUB/localhost_3003/assets/footer/footer7e76.css	(from )
12:09:30	5901/5901	---M--	200	added ('OK%20')	text/css	etag:%224461beafccf93404ff4d81e580b21838%22	http://localhost:3003/assets/header/header.css?body=1	/home/michael/websites/AUB/localhost_3003/assets/header/header7e76.css	(from )
12:09:30	2918/2918	---M--	200	added ('OK%20')	text/css	etag:%2253048371bee6cbd4b3778d28d017ff73%22	http://localhost:3003/assets/menu/menu.css?body=1	/home/michael/websites/AUB/localhost_3003/assets/menu/menu7e76.css	(from )
12:09:30	3425/3425	---M--	200	added ('OK%20')	text/css	etag:%22122adcb217c7dec659f03007ac583aaf%22	http://localhost:3003/assets/multi-displaying/wrapping.css?body=1	/home/michael/websites/AUB/localhost_3003/assets/multi-displaying/wrapping7e76.css	(from )
12:09:30	1571/1571	---M--	200	added ('OK%20')	text/css	etag:%22e11e2f5feaa2732882ec817c1312b4c3%22	http://localhost:3003/assets/page/accueils.css?body=1	/home/michael/websites/AUB/localhost_3003/assets/page/accueils7e76.css	(from )
12:09:31	1242/1242	---M--	200	added ('OK%20')	text/css	etag:%22339d441eeb0717ad28e6623cc7e2d4b8%22	http://localhost:3003/assets/page/agencies.css?body=1	/home/michael/websites/AUB/localhost_3003/assets/page/agencies7e76.css	(from )
12:09:31	880/880	---M--	200	added ('OK%20')	text/css	etag:%22ff72c0522d73d8fd7ffd4310f9235c77%22	http://localhost:3003/assets/page/contact.css?body=1	/home/michael/websites/AUB/localhost_3003/assets/page/contact7e76.css	(from )
